token,pilot_count,full_corpus_count,full_corpus_pages,dominant_section
dalal,2,6,6,Z
chotal,2,8,7,C
che,2,6,6,C
key,2,15,14,H
okechy,2,5,5,S
shokeey,2,3,3,H
okeeo,2,20,17,S
dl,2,21,17,S
aral,2,20,19,S
oteeo,2,10,10,S
otoy,2,4,4,C
sheeey,2,5,5,S
okodar,2,5,4,A
chotol,2,9,9,H
oteotey,2,5,4,Z
ykary,2,2,2,Z
otaly,2,21,18,Z
okydy,2,3,3,Z
oteedar,2,2,2,Z
teey,2,21,16,S
otalam,2,4,4,C
kal,2,27,23,S
olky,2,23,16,B
qokan,2,8,8,B
aly,2,27,22,S
sshey,2,7,7,B
ram,2,12,12,S
rol,2,20,15,B
daldy,2,21,19,B
sheety,2,8,6,B
yshedy,2,7,6,B
olkeedy,2,45,28,S
ch,2,23,22,H
ychey,2,17,17,H
otes,2,5,4,C
otdar,2,2,1,C
okalol,2,3,2,C
ochs,2,2,1,C
darchedy,2,2,2,C
ytedar,2,5,4,C
yky,2,16,15,H
olkaiin,2,31,26,S
opain,2,3,3,A
okos,2,7,7,A
otedar,2,13,10,S
octhey,2,5,5,H
osar,2,3,2,C
ykodar,2,3,2,C
osal,2,4,4,S
otoldy,2,10,10,H
oteedaiin,2,4,3,C
laiin,2,14,13,S
otedal,2,5,5,S
okchy,2,31,27,H
qotody,2,11,10,S
oteeedy,2,3,3,B
opy,2,9,7,H
otchdaiin,2,2,1,C
opchdy,2,20,15,S
otedaiin,2,5,4,C
shed,2,19,17,S
okedar,2,7,6,B
osain,2,5,5,H
shet,2,4,4,S
ky,2,33,30,H
ctheol,2,10,9,P
cphol,2,13,11,H
qoekol,2,2,1,P
dsheol,2,9,9,S
teol,2,16,15,B
sheeol,2,13,10,B
salo,2,2,2,P
qotol,2,44,32,H
qokeeey,2,28,19,S
qokeeo,2,18,12,S
pchedal,2,5,4,S
chep,2,5,4,S
sheek,2,4,4,S
loty,2,4,3,S
ota,2,4,3,S
qorain,2,4,4,S
shekain,2,3,3,S
shky,2,13,12,H
okaral,2,4,4,S
lr,2,10,9,S
okaly,2,23,16,S
chckhey,2,30,27,S
qokaly,2,17,11,S
shety,2,9,8,B
yteedy,2,29,25,S
ssheey,2,2,1,S
sheed,2,5,5,S
dsheey,2,8,8,S
in,2,3,2,S
olr,2,4,3,S
orain,2,15,13,S
fachys,1,1,1,T
ataiin,1,1,1,T
shory,1,5,5,H
cthres,1,1,1,T
sholdy,1,8,8,B
ckhar,1,3,3,S
kair,1,12,9,S
chtaiin,1,3,3,T
ase,1,1,1,T
dan,1,19,16,H
syaiir,1,1,1,T
ykaiin,1,46,29,H
shod,1,11,10,S
cthoary,1,1,1,T
cthes,1,2,2,T
daraiin,1,2,2,T
roloty,1,1,1,T
cthiar,1,1,1,T
cthaiin,1,12,11,H
cphar,1,4,4,H
cfhaiin,1,2,2,T
ydaraishy,1,1,1,T
cy,1,5,5,H
cphoy,1,2,2,T
oydar,1,1,1,T
cfhoaiin,1,1,1,T
shodary,1,1,1,T
yshey,1,13,12,S
okchoy,1,1,1,T
chocthy,1,19,17,H
kos,1,3,3,H
shos,1,10,10,H
cfhol,1,4,4,T
cphesaiin,1,1,1,T
cphey,1,10,10,H
shoshy,1,2,2,T
cphodal,1,2,2,T
es,1,4,4,T
oksho,1,5,5,H
kshoy,1,1,1,T
otairin,1,1,1,T
shodain,1,5,5,T
sckhey,1,1,1,T
shoy,1,2,2,T
cphy,1,12,12,H
cphodaiils,1,1,1,T
oldain,1,2,2,T
chodain,1,8,8,S
n,1,5,5,H
kod,1,3,3,T
shckhey,1,11,10,B
ckeo,1,1,1,T
shodan,1,1,1,T
kshy,1,7,6,H
chodaiin,1,46,38,H
koeam,1,1,1,T
ycho,1,4,4,H
chekain,1,8,6,S
pshol,1,4,4,T
dydyd,1,1,1,T
dai,1,2,2,T
cto,1,6,6,H
kodshey,1,1,1,T
cphealy,1,1,1,T
ckhyds,1,1,1,T
dchar,1,3,3,H
shcthaiin,1,1,1,T
okaiir,1,7,7,H
xchy,1,1,1,T
xtol,1,2,2,T
cthols,1,2,2,T
dlocto,1,1,1,T
shok,1,5,5,S
daiiin,1,21,21,H
cpho,1,2,2,T
shaiin,1,20,18,H
shokcheey,1,1,1,T
tshodeesy,1,1,1,T
pydeey,1,1,1,T
cha,1,3,3,H
ro,1,9,8,S
ydoin,1,1,1,T
cthal,1,8,6,H
far,1,3,3,T
ctholdar,1,1,1,T
ycheey,1,20,18,S
okchey,1,32,29,H
kokaiin,1,1,1,T
dchy,1,30,25,H
dcheo,1,6,6,H
koshey,1,2,2,T
chtor,1,2,2,T
eo,1,1,1,T
chok,1,5,5,H
choty,1,39,30,H
dchaiin,1,5,5,H
tsheos,1,1,1,H
qopal,1,2,2,H
daimg,1,1,1,H
qotcham,1,1,1,H
ochor,1,6,6,H
qocheor,1,1,1,H
schey,1,6,6,H
chag,1,1,1,H
chololy,1,1,1,H
ychtaiin,1,1,1,H
cthom,1,5,5,H
otaldam,1,1,1,H
qodaiin,1,43,27,S
shom,1,4,4,H
damo,1,1,1,H
dago,1,1,1,H
vor,1,1,1,H
sheoldam,1,1,1,H
otchody,1,4,4,H
cholcthom,1,1,1,H
pcheol,1,11,9,B
okadaiin,1,1,1,H
qokchor,1,8,7,H
schodam,1,1,1,H
octhy,1,10,10,S
qot,1,15,15,H
qokody,1,8,8,H
qokshey,1,8,7,T
qodair,1,3,3,S
tsheoarom,1,1,1,H
olchsy,1,1,1,H
otchom,1,1,1,H
oporar,1,1,1,H
ekshy,1,1,1,H
qokeom,1,2,2,H
soleeg,1,1,1,H
soeom,1,1,1,H
qokeeodal,1,1,1,H
pcheoldom,1,1,1,H
qopchor,1,2,2,H
qopol,1,6,6,S
opchol,1,6,6,H
otolom,1,1,1,H
qoeor,1,2,2,H
qoteol,1,12,10,P
qosaiin,1,2,2,H
keedey,1,1,1,H
qofchedy,1,9,9,S
qokeex,1,1,1,H
chepakeo,1,1,1,H
dcheey,1,13,13,H
qokees,1,8,8,H
shekeey,1,6,6,H
qef,1,1,1,H
chekey,1,7,7,H
da,1,13,13,H
keeol,1,14,13,P
tshokeody,1,1,1,H
chepos,1,1,1,H
cheda,1,2,2,H
ykeedar,1,1,1,H
cheod,1,6,6,H
shcthey,1,5,5,B
shso,1,1,1,H
shedshey,1,1,1,H
olsheol,1,3,3,H
deey,1,6,6,H
okaiiin,1,7,7,S
qoaiin,1,22,20,S
yches,1,2,2,H
olsheor,1,1,1,H
qoekedy,1,2,2,H
dals,1,9,8,H
saiis,1,1,1,H
yshedair,1,1,1,H
okedam,1,3,3,H
aiicthy,1,1,1,H
teeodaiin,1,2,2,A
epairody,1,1,1,A
osaiin,1,7,7,S
yteeoey,1,1,1,A
epaiin,1,2,2,H
qoekeey,1,4,4,A
oeteody,1,2,2,A
keo,1,9,9,S
keeodal,1,2,2,A
