token,pilot_count,full_corpus_count,full_corpus_pages,dominant_section
ykol,1,14,13,H
ckhy,1,35,32,H
oparal,1,1,1,P
oaro,1,1,1,P
aloly,1,2,2,C
aora,1,1,1,P
yteold,1,1,1,P
cheotchy,1,1,1,P
opchey,1,30,26,S
opsho,1,1,1,P
oteoefol,1,1,1,P
ckheol,1,5,5,P
dald,1,1,1,P
okoly,1,4,4,P
qokoly,1,1,1,P
okchol,1,14,12,H
qokold,1,1,1,P
chees,1,38,33,H
tsholdy,1,1,1,P
oekey,1,2,2,P
chockhia,1,1,1,P
cheyet,1,1,1,P
saiiny,1,1,1,P
tsheeor,1,2,2,A
cpheol,1,2,2,H
ckey,1,1,1,P
pchol,1,6,6,P
ypchol,1,3,3,H
choly,1,17,17,H
qotocthey,1,1,1,P
qkory,1,1,1,P
keshey,1,1,1,P
chs,1,17,14,H
dalchey,1,2,2,B
cheeokeey,1,1,1,P
keody,1,21,19,H
chkeey,1,13,12,H
oeksa,1,1,1,P
yteoldy,1,1,1,P
tolsasy,1,1,1,P
ykeol,1,15,11,H
ockhey,1,9,9,P
cheodal,1,7,6,P
alcheeg,1,1,1,P
orar,1,8,8,S
keear,1,4,3,S
olaiir,1,3,3,H
oolsal,1,1,1,P
okesy,1,1,1,P
sheseky,1,1,1,P
yshaiin,1,1,1,P
ykhey,1,3,3,P
shctysh,1,1,1,P
ychor,1,15,15,H
agairom,1,1,1,P
ytechypchy,1,1,1,S
yshdal,1,1,1,S
chcphhdy,1,1,1,S
daloky,1,1,1,S
peshol,1,1,1,S
otchy,1,44,36,H
yshdain,1,1,1,S
cheoty,1,5,5,S
eeokal,1,1,1,S
orol,1,12,10,B
eeal,1,1,1,S
ychedy,1,11,9,B
chedaraly,1,1,1,S
pocharal,1,1,1,S
okalor,1,2,2,B
yt,1,3,3,H
rkar,1,1,1,S
okdy,1,1,1,S
ocheey,1,3,3,S
qokealdy,1,1,1,S
qoto,1,6,5,H
san,1,3,3,B
shs,1,4,4,H
okeeody,1,17,17,S
qoedy,1,5,4,C
daroal,1,1,1,S
qoisal,1,1,1,S
adchey,1,1,1,S
ofeeo,1,1,1,S
lt,1,2,2,T
olkechdy,1,1,1,S
lkeor,1,1,1,S
okeedaram,1,1,1,S
chety,1,22,21,H
teolshy,1,1,1,S
lolshedy,1,1,1,S
daikhyky,1,1,1,S
podar,1,2,2,H
pchdy,1,10,10,S
tshdy,1,5,5,H
kasol,1,1,1,S
qokeechy,1,6,6,S
eekain,1,1,1,S
shkaiin,1,5,5,S
dshol,1,4,4,H
sholkar,1,1,1,S
shdaiin,1,4,4,H
rar,1,16,12,S
shcfhedy,1,1,1,S
opcheol,1,7,7,S
polchedy,1,7,6,S
oteeylshedy,1,1,1,S
qokalshedy,1,1,1,S
oteys,1,1,1,S
qoy,1,8,7,H
lkldy,1,1,1,S
ychain,1,3,3,H
pcheam,1,1,1,S
sokedy,1,1,1,S
dalkar,1,3,3,S
chepy,1,8,8,T
dalshy,1,1,1,S
shckhody,1,1,1,S
shdal,1,4,4,S
opchy,1,14,12,H
tchoky,1,2,2,H
okeal,1,14,12,S
qoodain,1,1,1,S
qotchy,1,62,48,H
olcheedar,1,1,1,S
lotor,1,1,1,S
qokechy,1,13,11,S
lkeeody,1,5,5,S
lkeol,1,5,5,S
deshedy,1,1,1,S
dalkain,1,1,1,S
lkeedy,1,37,21,S
qokeeechy,1,1,1,S
qochey,1,6,5,S
pcholkchdy,1,1,1,S
chpchy,1,4,4,S
oteeykshy,1,1,1,S
chdaly,1,3,3,S
shdar,1,10,9,T
shchdy,1,1,1,S
chty,1,13,13,H
chechy,1,1,1,S
choldy,1,11,11,H
qotail,1,1,1,S
sheod,1,11,11,S
cheedalaiin,1,1,1,S
qokecar,1,1,1,S
chain,1,19,17,H
olain,1,12,10,S
shedain,1,12,9,S
lcheg,1,1,1,S
okool,1,1,1,S
qokeodair,1,1,1,S
qokshy,1,9,9,H
chsky,1,3,3,H
eeey,1,5,5,P
shalky,1,2,2,S
otechedy,1,1,1,S
lokeedy,1,2,2,S
lokain,1,1,1,S
lsheey,1,6,5,B
shodyol,1,1,1,S
lotar,1,1,1,S
oteeal,1,2,2,C
keeo,1,10,10,S
tshey,1,9,9,B
cheolshy,1,1,1,S
chalal,1,2,2,Z
tar,1,42,35,S
okeshedy,1,1,1,S
shokey,1,5,5,S
odeeey,1,2,2,C
otshedy,1,10,10,S
shedar,1,8,8,S
olkeol,1,7,6,S
ltar,1,1,1,S
chorol,1,3,3,S
loiin,1,4,4,S
chedan,1,1,1,S
lcheedy,1,9,7,S
oloraiin,1,1,1,S
polarar,1,2,2,B
qotolaiin,1,1,1,S
shkchy,1,2,2,H
opchealol,1,1,1,S
leeesain,1,1,1,S
cheteey,1,3,2,Z
cheosaiin,1,1,1,S
chepchy,1,4,4,H
qopchey,1,10,10,S
otalsy,1,2,2,P
qoteeey,1,3,3,H
kchdpy,1,1,1,S
otalsh,1,1,1,S
llory,1,1,1,S
ihearamom,1,1,1,S
shain,1,9,8,H
lar,1,8,7,B
ykanam,1,1,1,S
saly,1,4,4,T
padar,1,1,1,S
osheeky,1,1,1,S
aralar,1,1,1,S
ykolain,1,1,1,S
pcholchdy,1,1,1,S
tokain,1,2,2,S
totol,1,1,1,S
rotydy,1,1,1,S
okeeylkaiin,1,1,1,S
chd,1,7,7,H
chcpham,1,1,1,S
okeolshy,1,1,1,S
olkain,1,34,16,B
als,1,5,5,S
cholches,1,1,1,S
olchdy,1,10,9,B
olam,1,5,5,S
tey,1,15,13,H
chetain,1,5,5,S
shtchey,1,1,1,S
okeedam,1,1,1,S
cheychear,1,1,1,S
oleedy,1,2,2,S
pchoetal,1,1,1,S
otarar,1,5,5,S
opam,1,3,3,S
lain,1,4,4,S
pcharalor,1,1,1,S
porchey,1,1,1,S
chetar,1,6,6,S
arody,1,12,11,S
sf,1,1,1,S
m,1,15,10,C
sairol,1,1,1,S
dtal,1,1,1,S
orchcthdy,1,1,1,S
lty,1,2,2,S
shekchy,1,5,5,H
okalain,1,1,1,S
lg,1,1,1,S
cheeteey,1,4,4,S
lm,1,1,1,S
chalkeey,1,1,1,S
kedy,1,47,31,B
lag,1,1,1,S
oin,1,9,9,S
ytchey,1,12,11,H
chckhol,1,4,4,H
shechol,1,1,1,S
cheedy,1,59,32,B
qotam,1,12,10,S
pshedy,1,3,3,S
lshalshy,1,1,1,S
qotalshy,1,1,1,S
cthedy,1,13,11,S
lched,1,6,5,B
cthan,1,2,2,H
lkeeal,1,1,1,S
raraiin,1,4,4,S
ory,1,16,14,B
saraiin,1,3,3,S
ollaiin,1,1,1,S
pchallarar,1,1,1,S
ckhal,1,4,4,H
alolfchy,1,1,1,S
rpchey,1,1,1,S
shfy,1,1,1,S
opchekan,1,1,1,S
dlr,1,1,1,S
rshey,1,2,2,B
chtain,1,4,4,S
soraiin,1,8,7,S
arain,1,4,4,S
cheds,1,1,1,S
rsheg,1,1,1,S
qolchey,1,11,8,B
olkey,1,13,11,B
qorar,1,1,1,S
qcthhy,1,3,3,S
qokl,1,9,7,S
pairain,1,1,1,S
cheam,1,6,6,S
sham,1,6,5,S
keeey,1,10,8,S
lkeal,1,1,1,S
lom,1,4,4,B
chery,1,1,1,S
lchy,1,9,9,B
dlar,1,2,2,T
sheain,1,3,3,S
shkain,1,2,2,B
as,1,12,11,S
chcphy,1,10,10,S
cphan,1,1,1,S
lcheor,1,2,2,S
chky,1,17,16,H
odain,1,17,14,S
oleey,1,3,3,S
oqokaiin,1,1,1,S
okeyshcphhy,1,1,1,S
ookar,1,1,1,S
lkechy,1,1,1,S
chedkaly,1,1,1,S
sykar,1,1,1,S
dainchey,1,1,1,S
otan,1,3,3,S
sysor,1,1,1,S
okeolan,1,1,1,S
arom,1,3,3,Z
lkan,1,1,1,S
sodal,1,2,2,H
